SGK-1 DAF-16
PPTR-1 SGK-1
DAF-16 AKT-1
PPTR-1 AKT-1
LET-99 PAR-1
CUL-2 ZER-1
M01E5.6 M01E5.6
Y55B1BR.4 ZK1240.1
CEH-17 Y55B1BR.4
ZTF-2 Y55B1BR.4
Y55B1BR.4 M57.1
DYN-1 GEI-18
GEI-18 C49H3.6
F43C9.3 T04C9.1
MIG-5 ABL-1
MIG-5 GEI-18
ABL-1 WSP-1
WSP-1 GEI-18
ABL-1 C05D10.4
ABL-1 LIN-65
GEI-18 WSP-1
T04C9.1 ZTF-2
T02H6.5 T04C9.1
T04C9.1 W03G1.3
T04C9.1 M57.1
F23H11.4 T04C9.1
T04C9.1 F23C8.8
SOP-3 T04C9.1
T04C9.1 FKH-8
T04C9.1 K02E7.2
T04C9.1 ZFP-3
T04C9.1 NHR-114
M57.1 GEI-18
ABL-1 M57.1
ZFP-3 ABL-1
TTX-1 GEI-18
F34D10.4 GEI-18
GEI-18 EGL-9
GEI-18 CEH-17
GEI-18 Y55B1BR.2
GEI-18 EBI-2316437
RRC-1 TTX-1
ABL-1 C06G1.5
ABL-1 RAD-51
ABL-1 C05D10.4
ABL-1 ALP-1
ABL-1 EPS-8
EBI-2320684 ABL-1
F42G2.5 RRC-1
Y43F4B.5 PAL-1
GLD-1 COL-19
IMA-3 F46G10.1
CKI-2 CYE-1
LAG-1 C05C10.5
PAS-2 KEL-8
MIG-5 Y40C5A.1
C53D6.6 C53D6.6
CYK-3 PBS-7
F46G11.1 UNC-16
PCN-1 MEL-32
DNC-1 WEE-1.3
ALP-1 RAD-26
PAS-5 PAS-4
COGC-4 BRP-1
PAS-1 ATN-1
HDA-3 C34H4.2
SDZ-38 RGA-1
RNR-2 RNR-2
WDFY-2 ACL-9
K09B11.9 RAD-26
LEC-1 PLK-3
ZK849.2 D1005.1
VAB-3 D1046.1
F54B11.5 Y106G6A.5
CDK-1 CKS-1
CUP-5 F53G12.8
MIG-5 DLK-1
SEC-3 C43E11.11
GIP-1 RPL-32
CDC-37 PYC-1
Y57A10A.25 IMA-3
MDT-19 F57C12.2
RIC-8 NHR-41
HDA-1 SEC-15
ZK1127.5 MCM-4
C09G1.4 TAG-208
CGH-1 RPL-2
Y37H9A.3 HUM-2
DYB-1 C06G3.6
PTL-1 T08A9.6
LAG-1 IMA-3
PQN-11 ZTF-8
GLT-3 CCT-5
KBP-3 KBP-4
T04H1.2 TAM-1
ATN-1 ZC178.2
MEK-2 ALP-1
Y63D3A.4 EXOS-8
KNL-3 MIS-12
PQN-54 ANI-3
F39H12.1 RPL-9
DYB-1 UNC-15
RFC-2 LPD-7
PQN-11 NPP-10
